date,spbmv_vix
14/06/19,17.51
17/06/19,17.55
18/06/19,17.43
19/06/19,17.11
20/06/19,16.86
21/06/19,16.99
24/06/19,16.79
25/06/19,16.88
26/06/19,16.61
27/06/19,16.18
28/06/19,15.81
01/07/19,15.6
02/07/19,15.6
03/07/19,15.72
04/07/19,15.25
05/07/19,15.21
08/07/19,15.29
09/07/19,15.59
10/07/19,15.5
11/07/19,15.44
12/07/19,15.81
15/07/19,15.75
16/07/19,15.78
17/07/19,16.04
18/07/19,16.2
19/07/19,16.3
22/07/19,16.77
23/07/19,16.76
24/07/19,16.75
25/07/19,16.87
26/07/19,16.82
29/07/19,16.59
30/07/19,14.96
31/07/19,15.15
01/08/19,15.91
02/08/19,16.1
05/08/19,16.06
06/08/19,15.93
07/08/19,19.18
08/08/19,16.88
09/08/19,17.05
12/08/19,16.85
13/08/19,17.5
14/08/19,17.89
15/08/19,18.08
16/08/19,17.98
19/08/19,17.96
20/08/19,17.83
21/08/19,17.25
22/08/19,17.12
23/08/19,17.27
26/08/19,17.1
27/08/19,16.76
28/08/19,16.57
29/08/19,16.4
30/08/19,16.24
02/09/19,16.38
03/09/19,16.47
04/09/19,16.48
05/09/19,16.2
06/09/19,16.19
09/09/19,16.28
10/09/19,16.94
11/09/19,17.01
12/09/19,16.48
13/09/19,16.47
17/09/19,16.41
18/09/19,16.61
19/09/19,16.69
20/09/19,16.79
23/09/19,16.77
24/09/19,16.96
25/09/19,17.45
26/09/19,17.37
27/09/19,17.5
30/09/19,17.12
01/10/19,17.13
02/10/19,17.8
03/10/19,17.19
04/10/19,17.33
07/10/19,16.55
08/10/19,17.04
09/10/19,17.24
10/10/19,16.68
11/10/19,16.6
14/10/19,16.28
15/10/19,15.61
16/10/19,15.59
17/10/19,15.44
18/10/19,15.6
21/10/19,15.68
22/10/19,15.7
23/10/19,15.39
24/10/19,15.56
25/10/19,15.79
28/10/19,15.64
29/10/19,15.35
30/10/19,15.38
31/10/19,15.28
01/11/19,15.19
04/11/19,15.31
05/11/19,15.42
06/11/19,15.27
07/11/19,15.19
08/11/19,15.11
11/11/19,15.17
12/11/19,15.39
13/11/19,15.15
14/11/19,15.22
15/11/19,15.13
19/11/19,14.71
20/11/19,14.62
21/11/19,14.28
22/11/19,14.53
25/11/19,14.15
26/11/19,14.57
27/11/19,14.61
28/11/19,14.56
29/11/19,15.29
02/12/19,15.64
03/12/19,15.65
04/12/19,15.49
05/12/19,15.4
06/12/19,15.52
09/12/19,15.35
10/12/19,14.69
11/12/19,13.89
13/12/19,12.75
16/12/19,12.71
17/12/19,12.48
18/12/19,12.22
19/12/19,12.21
20/12/19,12.43
23/12/19,12.94
24/12/19,12.89
26/12/19,12.78
27/12/19,13.12
30/12/19,14.16
31/12/19,14.14
02/01/20,13.23
03/01/20,13.17
06/01/20,13.42
07/01/20,13.79
08/01/20,13.97
09/01/20,13.83
10/01/20,13.82
13/01/20,14.35
14/01/20,13.95
15/01/20,13.93
16/01/20,13.33
17/01/20,13.07
20/01/20,12.98
21/01/20,13.24
22/01/20,13.45
23/01/20,13.36
24/01/20,13.49
27/01/20,13.98
28/01/20,13.49
29/01/20,13.77
30/01/20,13.51
31/01/20,13.82
04/02/20,13.76
05/02/20,13.79
06/02/20,13.96
07/02/20,14.52
10/02/20,14.33
11/02/20,14.2
12/02/20,13.84
13/02/20,14.02
14/02/20,13.91
17/02/20,13.78
18/02/20,13.68
19/02/20,13.64
20/02/20,13.91
21/02/20,13.7
24/02/20,13.89
25/02/20,14.25
26/02/20,14.32
27/02/20,14.82
28/02/20,14.86
02/03/20,14.37
03/03/20,14.29
04/03/20,14.88
05/03/20,15.03
06/03/20,15.37
09/03/20,17.12
10/03/20,16.84
11/03/20,17.24
12/03/20,18.28
13/03/20,17.04
17/03/20,17.24
18/03/20,18.84
19/03/20,19.13
20/03/20,17.07
23/03/20,17.07
24/03/20,15.83
25/03/20,15.85
26/03/20,15.65
27/03/20,19.09
30/03/20,18.93
31/03/20,18.25
01/04/20,19.46
02/04/20,19.07
03/04/20,19.46
06/04/20,18.19
07/04/20,18.49
08/04/20,18.47
13/04/20,18.11
14/04/20,17.85
15/04/20,18.4
16/04/20,18.62
17/04/20,17.61
20/04/20,17.41
21/04/20,17.23
22/04/20,16.95
23/04/20,16.65
24/04/20,16.06
27/04/20,16
