state,date,imaief_cons,imaief_actsec,imaief_manf,imaief_minr,imaief_cons_base,imaief_actsec_base,imaief_manf_base,imaief_minr_base,naim,covid,period,time_to_treat
Chihuahua,2021-12-01,90.09009009009009,90.70904645476772,92.89099526066352,88.68804664723031,88.8,122.7,126.6,171.5,1,1,144,37
Ciudad de México,2010-01-01,72.56410256410257,84.91260349586017,94.56838021338507,64.32078559738133,117,108.7,103.1,122.2,0,0,1,-106
Ciudad de México,2010-02-01,73.93162393162393,88.40846366145352,100,71.35842880523732,117,108.7,103.1,122.2,0,0,2,-105
Ciudad de México,2010-03-01,77.60683760683762,93.92824287028519,106.69253152279342,81.99672667757774,117,108.7,103.1,122.2,0,0,3,-104
Ciudad de México,2010-04-01,79.05982905982906,90.98436062557498,100.96993210475267,77.98690671031096,117,108.7,103.1,122.2,0,0,4,-103
Ciudad de México,2010-05-01,68.63247863247864,87.76448942042319,102.42483026188167,80.03273322422258,117,108.7,103.1,122.2,0,0,5,-102
Ciudad de México,2010-06-01,60.85470085470086,86.56853725850965,105.91658583899128,69.47626841243863,117,108.7,103.1,122.2,0,0,6,-101
Ciudad de México,2010-07-01,67.77777777777777,87.85648574057038,102.42483026188167,70.13093289689034,117,108.7,103.1,122.2,0,0,7,-100
Ciudad de México,2010-08-01,71.19658119658119,90.34038638454462,105.72259941804074,77.33224222585925,117,108.7,103.1,122.2,0,0,8,-99
Ciudad de México,2010-09-01,72.56410256410257,90.34038638454462,104.36469447138701,75.20458265139116,117,108.7,103.1,122.2,0,0,9,-98
Ciudad de México,2010-10-01,70.42735042735043,91.44434222631095,107.75945683802132,77.33224222585925,117,108.7,103.1,122.2,0,0,10,-97
Ciudad de México,2010-11-01,76.41025641025642,94.94020239190432,109.69932104752667,82.40589198036007,117,108.7,103.1,122.2,0,0,11,-96
Ciudad de México,2010-12-01,78.11965811965813,90.6163753449862,100.58195926285161,85.18821603927987,117,108.7,103.1,122.2,0,0,12,-95
Ciudad de México,2011-01-01,68.54700854700855,82.7966881324747,93.50145489815715,70.86743044189852,117,108.7,103.1,122.2,0,0,13,-94
Ciudad de México,2011-02-01,71.96581196581197,86.0165593376265,96.89621726479147,72.58592471358429,117,108.7,103.1,122.2,0,0,14,-93
Ciudad de México,2011-03-01,66.49572649572649,87.21251149954001,102.81280310378274,77.33224222585925,117,108.7,103.1,122.2,0,0,15,-92
Ciudad de México,2011-04-01,77.43589743589743,86.38454461821527,93.3074684772066,80.76923076923077,117,108.7,103.1,122.2,0,0,16,-91
Ciudad de México,2011-05-01,89.65811965811966,95.2161913523459,100.38797284190106,98.44517184942715,117,108.7,103.1,122.2,0,0,17,-90
Ciudad de México,2011-06-01,98.29059829059828,100,102.81280310378274,104.33715220949263,117,108.7,103.1,122.2,0,0,18,-89
Ciudad de México,2011-07-01,83.50427350427351,92.3643054277829,99.80601357904948,80.6873977086743,117,108.7,103.1,122.2,0,0,19,-88
Ciudad de México,2011-08-01,100.68376068376068,100.82796688132474,102.61881668283222,101.55482815057282,117,108.7,103.1,122.2,0,0,20,-87
Ciudad de México,2011-09-01,91.36752136752138,95.58417663293469,100.09699321047528,92.88052373158756,117,108.7,103.1,122.2,0,0,21,-86
Ciudad de México,2011-10-01,103.33333333333334,104.04783808647653,106.40155189136762,103.43698854337153,117,108.7,103.1,122.2,0,0,22,-85
Ciudad de México,2011-11-01,103.84615384615385,103.03587856485741,104.26770126091174,99.34533551554829,117,108.7,103.1,122.2,0,0,23,-84
Ciudad de México,2011-12-01,93.24786324786324,96.96412143514259,100.8729388942774,90.58919803600655,117,108.7,103.1,122.2,0,0,24,-83
Ciudad de México,2012-01-01,78.11965811965813,89.88040478380864,98.64209505334628,83.46972176759411,117,108.7,103.1,122.2,0,0,25,-82
Ciudad de México,2012-02-01,83.58974358974359,91.07635694572217,96.7992240543162,83.96072013093288,117,108.7,103.1,122.2,0,0,26,-81
Ciudad de México,2012-03-01,90.94017094017094,96.59613615455382,101.16391852570321,96.48117839607202,117,108.7,103.1,122.2,0,0,27,-80
Ciudad de México,2012-04-01,84.1025641025641,89.60441582336706,93.3074684772066,83.22422258592471,117,108.7,103.1,122.2,0,0,28,-79
Ciudad de México,2012-05-01,91.7094017094017,94.84820607175712,97.47817652764307,95.3355155482815,117,108.7,103.1,122.2,0,0,29,-78
Ciudad de México,2012-06-01,89.57264957264957,97.97608095676172,104.46168768186229,101.22749590834697,117,108.7,103.1,122.2,0,0,30,-77
Ciudad de México,2012-07-01,110.5982905982906,103.12787488500459,98.54510184287099,113.50245499181668,117,108.7,103.1,122.2,0,0,31,-76
Ciudad de México,2012-08-01,104.01709401709402,101.93192272309106,101.35790494665373,106.7103109656301,117,108.7,103.1,122.2,0,0,32,-75
