year,countrycode,gdppc,continent,naim
2020,MEX,9.834716642289559,Americas,1
2021,MEX,9.905308662729276,Americas,1
1997,MKD,8.56153886430674,Europe,0
1998,MKD,8.603017406664394,Europe,0
1999,MKD,8.652505254762541,Europe,0
2000,MKD,8.724499491419664,Europe,0
2001,MKD,8.707799603382787,Europe,0
2002,MKD,8.763307107890817,Europe,0
2003,MKD,8.794135595023342,Europe,0
2004,MKD,8.877940530111657,Europe,0
2005,MKD,8.968126503464903,Europe,0
2006,MKD,9.069955482092594,Europe,0
2007,MKD,9.14322870624298,Europe,0
2008,MKD,9.261213767888439,Europe,0
2009,MKD,9.306558465433527,Europe,0
2010,MKD,9.337942542857311,Europe,0
2011,MKD,9.366480993455122,Europe,0
2012,MKD,9.385611286784737,Europe,0
2013,MKD,9.451507432765554,Europe,0
2014,MKD,9.505606852666638,Europe,0
2015,MKD,9.538801706124373,Europe,0
2016,MKD,9.624963142144699,Europe,0
2017,MKD,9.661826363928775,Europe,0
2018,MKD,9.728912130731533,Europe,0
2019,MKD,9.772605044095464,Europe,0
2020,MKD,9.72434235153583,Europe,0
2021,MKD,9.793565374279918,Europe,0
1997,PER,8.487934323344577,Americas,0
1998,PER,8.477624283336532,Americas,0
1999,PER,8.490211489837835,Americas,0
2000,PER,8.524672582736411,Americas,0
2001,PER,8.540368662129751,Americas,0
2002,PER,8.597740016342229,Americas,0
2003,PER,8.64813077475755,Americas,0
2004,PER,8.713848273484379,Americas,0
2005,PER,8.796960243829048,Americas,0
2006,PER,8.891508683464009,Americas,0
2007,PER,8.991738398283198,Americas,0
2008,PER,9.09001488885352,Americas,0
2009,PER,9.09927041649655,Americas,0
2010,PER,9.183122069102632,Americas,0
2011,PER,9.256918217269925,Americas,0
2012,PER,9.284304085583333,Americas,0
2013,PER,9.332200707639235,Americas,0
2014,PER,9.350995730474295,Americas,0
2015,PER,9.356371387211118,Americas,0
2016,PER,9.393776090336614,Americas,0
2017,PER,9.434006136917805,Americas,0
2018,PER,9.479358630446056,Americas,0
2019,PER,9.503085109231574,Americas,0
2020,PER,9.384970819550018,Americas,0
2021,PER,9.53930419202736,Americas,0
1997,PRY,8.853779693843315,Americas,0
1998,PRY,8.843932726806829,Americas,0
1999,PRY,8.823151173744824,Americas,0
2000,PRY,8.801862609370104,Americas,0
2001,PRY,8.796189401375305,Americas,0
2002,PRY,8.792550791432237,Americas,0
2003,PRY,8.83629729291077,Americas,0
2004,PRY,8.885386635150804,Americas,0
2005,PRY,8.92118268921882,Americas,0
2006,PRY,8.983337997611677,Americas,0
2007,PRY,9.048493510453687,Americas,0
2008,PRY,9.116711155194846,Americas,0
2009,PRY,9.106982240544122,Americas,0
2010,PRY,9.210603018993995,Americas,0
2011,PRY,9.259472939692525,Americas,0
2012,PRY,9.212210984767037,Americas,0
2013,PRY,9.311321598549467,Americas,0
2014,PRY,9.346131735643493,Americas,0
2015,PRY,9.348929730670308,Americas,0
2016,PRY,9.396132860011367,Americas,0
2017,PRY,9.440701687936704,Americas,0
2018,PRY,9.482972004839256,Americas,0
2019,PRY,9.484022034025111,Americas,0
2020,PRY,9.475371580427256,Americas,0
2021,PRY,9.545086707717363,Americas,0
1997,RUS,8.648212287799273,Europe,0
1998,RUS,8.606129675460643,Europe,0
1999,RUS,8.685132851389888,Europe,0
2000,RUS,8.828404995925448,Europe,0
2001,RUS,8.904000489331233,Europe,0
2002,RUS,8.991870209520668,Europe,0
2003,RUS,9.132869208562306,Europe,0
2004,RUS,9.232763738756455,Europe,0
2005,RUS,9.377746805915224,Europe,0
2006,RUS,9.609937254009477,Europe,0
2007,RUS,9.720059915510904,Europe,0
2008,RUS,9.911634742618524,Europe,0
2009,RUS,9.872509726378084,Europe,0
2010,RUS,9.927698437071486,Europe,0
2011,RUS,10.034457647817744,Europe,0
2012,RUS,10.098374526782921,Europe,0
2013,RUS,10.168689134163522,Europe,0
2014,RUS,10.156642170309855,Europe,0
2015,RUS,10.089357980412371,Europe,0
2016,RUS,10.091131832534595,Europe,0
2017,RUS,10.163018705969373,Europe,0
2018,RUS,10.268868647871773,Europe,0
2019,RUS,10.311208122988223,Europe,0
2020,RUS,10.306149190320244,Europe,0
2021,RUS,10.398286090016382,Europe,0
1997,SLV,8.32129060489561,Americas,0
1998,SLV,8.349741963479163,Americas,0
1999,SLV,8.377039982041012,Americas,0
2000,SLV,8.40331227163137,Americas,0
2001,SLV,8.42773557127912,Americas,0
2002,SLV,8.452896486627596,Americas,0
2003,SLV,8.482630749537469,Americas,0
2004,SLV,8.513028600235117,Americas,0
2005,SLV,8.565957557530377,Americas,0
2006,SLV,8.63438175480897,Americas,0
2007,SLV,8.675138930796203,Americas,0
2008,SLV,8.710938474123154,Americas,0
2009,SLV,8.692016608336118,Americas,0
2010,SLV,8.72056578635662,Americas,0
2011,SLV,8.774283339730577,Americas,0
2012,SLV,8.785878384940515,Americas,0
2013,SLV,8.835959073907212,Americas,0
2014,SLV,8.886436156834598,Americas,0
2015,SLV,8.935599423923797,Americas,0
2016,SLV,8.992013924053287,Americas,0
2017,SLV,9.042401151784976,Americas,0
2018,SLV,9.08494940823526,Americas,0
2019,SLV,9.121127888060718,Americas,0
2020,SLV,9.038341287232816,Americas,0
2021,SLV,9.176651962005648,Americas,0
1997,THA,8.872441231142739,Asia,0
1998,THA,8.792157808481317,Asia,0
1999,THA,8.839341899519534,Asia,0
2000,THA,8.894888862336993,Asia,0
2001,THA,8.941756770345114,Asia,0
2002,THA,9.008590603411701,Asia,0
2003,THA,9.090084104560932,Asia,0
2004,THA,9.1706920869460955,Asia,0
2005,THA,9.236137243614314,Asia,0
2006,THA,9.308969525712667,Asia,0
2007,THA,9.382962867828095,Asia,0
2008,THA,9.41381215631901,Asia,0
2009,THA,9.408235723973931,Asia,0
2010,THA,9.487730988531368,Asia,0
2011,THA,9.511860926014101,Asia,0
2012,THA,9.60716664277968,Asia,0
2013,THA,9.642620417928146,Asia,0
2014,THA,9.647317763999464,Asia,0
2015,THA,9.669180103257467,Asia,0
2016,THA,9.71813310144747,Asia,0
2017,THA,9.765543716597717,Asia,0
2018,THA,9.827360258968987,Asia,0
2019,THA,9.863542409679606,Asia,0
2020,THA,9.809063812536,Asia,0
2021,THA,9.863159833719067,Asia,0
1997,USA,10.356444807530723,Americas,0
1998,USA,10.399818949225777,Americas,0
1999,USA,10.449160597091558,Americas,0
2000,USA,10.500397916095611,Americas,0
2001,USA,10.522278121549752,Americas,0
2002,USA,10.545282480583818,Americas,0
2003,USA,10.583809716922971,Americas,0
2004,USA,10.638846919941331,Americas,0
2005,USA,10.694745693139893,Americas,0
2006,USA,10.742940454691437,Americas,0
2007,USA,10.78000207155957,Americas,0
2008,USA,10.790762282023687,Americas,0
2009,USA,10.762042033519604,Americas,0
2010,USA,10.792420307019757,Americas,0
2011,USA,10.821096744942565,Americas,0
2012,USA,10.854844583266285,Americas,0
2013,USA,10.883525136431924,Americas,0
2014,USA,10.917337746987778,Americas,0
2015,USA,10.946635217707641,Americas,0
2016,USA,10.965898145087332,Americas,0
2017,USA,11.000678461472098,Americas,0
2018,USA,11.047794007523853,Americas,0
2019,USA,11.083599939119175,Americas,0
2020,USA,11.051329266451305,Americas,0
2021,USA,11.146020321787844,Americas,0
1997,ZAF,8.974111637621183,Africa,0
1998,ZAF,8.974257945319179,Africa,0
1999,ZAF,8.997055948535435,Africa,0
2000,ZAF,9.046510325700442,Africa,0
2001,ZAF,9.082098964467345,Africa,0
2002,ZAF,9.121260388299408,Africa,0
2003,ZAF,9.157629883678572,Africa,0
2004,ZAF,9.216481214179142,Africa,0
2005,ZAF,9.286405701220918,Africa,0
2006,ZAF,9.358683061632977,Africa,0
2007,ZAF,9.424651981782842,Africa,0
2008,ZAF,9.461720415599533,Africa,0
2009,ZAF,9.438693750488836,Africa,0
2010,ZAF,9.46603168965647,Africa,0
2011,ZAF,9.502544719901007,Africa,0
2012,ZAF,9.489161452474482,Africa,0
2013,ZAF,9.518335448483345,Africa,0
2014,ZAF,9.517979665870763,Africa,0
2015,ZAF,9.525293100969447,Africa,0
2016,ZAF,9.528682199802919,Africa,0
2017,ZAF,9.536781765084285,Africa,0
2018,ZAF,9.561520547008646,Africa,0
2019,ZAF,9.56721658765467,Africa,0
2020,ZAF,9.499981848436189,Africa,0
2021,ZAF,9.576383499333827,Africa,0
